id,viewcounts,subscribercounts,videocounts
UCdnKNAMV_R1HsNf-cAQ8FJw,16887,5100,17
UCtfow4NvtG5awRaUcS8aIYA,23218506,33600,647
UCKwbLSxV0Cl42TrjymJKX8A,52966785,143000,2993
UCsjP7dIkJg6oLe8Q8E-LzXw,5303,103,10
UCCSxQESp-fOxFVuGJ5KZ6WQ,797,9,6
UCmRtu3uQIKn8WukaihqO8Nw,178,3,14
UCiGe2cAk3CgFxETTxY81e2g,154770,1220,372
UCb6K2WUdq-4zFpZZ4fmL9fg,37898,489,47
UC-iHle83VeHZjTHsS9uA0iA,17522973,783000,264
UC59nB4JNV4FE3MdZ-XHb4jA,1334,55,6
UCJRZUrhsslRim3m4RIaQIDg,5687,39,43
UCJL0_qCRTdcuq5NzazdIIEw,0,2,0
UCbLPRIXgjvaresyGXkd9KMw,471,1,11
UCKXHjhPOn2DFD08n6bM8S6w,18916,493,213
UCVj84f5DVhk7_nrH7YQhxlg,21,1,2
UCuRddZ8vNXFgBefF9kAy4mA,376,5,19
UCWSFFuncVMnpfcaETQctLlA,149,2,5
UCqDbTXiz3WJX6nuq509jTiA,175491224,461000,281
UC5Z6UYjHVtnNYZoSAQCR_MQ,402,49,6
UChILd0092HNyw3TnjkXZ27A,3191,47,6
UCZDj-MadNJO-j_k8YxgHrpQ,10656,134,36
UCrLE_t9JHDHxNMdYPDeOv0A,164,6,4
UC4QHwW3-r6FW7t8HRYOUU8g,116135578,332000,1095
UC2fdvA0WWSgjUtcXzFBmaCQ,29388,285,54
UCy3HLfbhSRZJ84bxuPzRN5g,303,2,4
UCmZUpwsOyjj1UCfHWzHDxgw,67,2,4
UC7OgrSCeUMCLfXzCqWcBXCg,5731,21,10
UCUrRSVuVM_ApDs4niQrAgCQ,0,11,0
UCujfa7epkFTJSyQET7DLWow,449,20,4
UCfYyPUGBepP1aN57WCFNyLQ,2378,23,19
UCD-WU9ycUCzh2pXk_90Zlng,326,4,5
UC3_RmzlX2YtNIYAyfcvc1PQ,29160377,53100,64
UCnBefwi-Yy5ueSmVI9--YcA,10499313,24700,517
UCGRAyuPAG53dODuOlOUpm4g,1680,248,20
UC4ZvWH22WoT1me8dMsCzE5Q,3994733,30400,184
UCTOimnRL1X5zATZt2UXZxCA,488,9,3
UCE8SHBdGb9QkGrW9ti5XXhA,3692,22,5
UC6Qng3csT34i1mX1Zu7DmnA,20645,435,69
UCq4ouzNYO_kDUgeylKJC6uQ,246,9,7
UCRSvndfNboO6olpXM3k3SAQ,6124,7,29
UCAnDVCCsvYpasxNIL6-K5JA,133389,511,73
UCDsEWdRcjGawbbmq33f2K6Q,2078,112,16
UCFKC77ds1y-2OzOp5vQsfZw,18783,570,22
UCVTt7LskhkCOjzDrnWSZyLw,96,1,4
UCw9M-a_-gOXLPUrF3K8bQ_Q,53795,112,14
UClNG8QuhjxR1iLWJDSDTVlw,38446,249,16
UCmWMwHzpYnHgsv_leo2t0KA,17571,96,109
UCzPmdggDXU4Eu83AV3D_sFA,7505,130,32
UCFxgms43D0dZoFEbPuOm_Ow,5547316,20700,234
UC6kq0wa99LizMYKqe1Ti8cw,10617257,46500,79
UCLean_ErLpJiKbEEs_AFilg,15410462,90000,531
UCFRw5fFAnAqwTfceRaWstlg,54263,363,7
UCR0ILMimYdi-GCObSg7Jerw,149,3,6
UC_oefiEjPxkaChhw3uh7Xfg,44,0,2
UCTpP-TLClBc0qZl-RO44MpQ,9,0,3
UCCnJPAioCv2Un8bG_kNcCJg,56,2,2
UClFR3_Uxxq_KDtWpxGzNBHw,2,0,1
UCWLXdqt2YQhmmVDBK9qvOjQ,23,0,1
UCux8nbsjmjed75nZvz7vEmg,15890,336,4
UCjPnuN3CllmMq0G6A2KlRzw,940,9,5
UC93D5P7Wi3s1Yvj21lDHPDA,1839,11,3
UCiR08dortNfX0z4d6gfScaQ,512,6,10
UCMT3GbE2aFeZvqUetXlc47A,807,2,2
UCGned-iY3oQpwDZlAW_3Ohg,6031,70,5
UCfS-RZf2yMXZai7bNjmvqGA,27,1,2
UCKSZqQoAP2uFRtFXE825Nxg,6696472,986,17
UCOYQcGS7Y_876OyuPu9jQfg,6950419,191000,225
UCyH9NKzfEZRgTRXqoVuNbFw,7630990,111000,1242
UCA1AlsLfHS6wxivRZuNBaYg,9648391,59400,402
UCxBJ2CRPcYBTHd6ke3meaOg,50476377,87700,275
UCaiDBhRFBf86xJq3DnQmS4w,8484252,24100,293
UC5OZZxkZZdfyUKQYNQ0i4Hg,8925,1170,26
UC2zsmHBTtEDwQ8RQdpG_-Ig,10271068,64800,89
UCFFUJbF3tzqhfm8oMpV7Yaw,53787,1130,342
UC06EqhDuuxrn0DWkWZzMfPA,224,4,3
UCyPWx3GRMv2PcsO26ur3g6Q,76,6,2
UCnJ0SBi96YIsYQeBAqR3mRw,14,0,1
UCv_GAnkGaVLkF54Oe8AWaDw,118,3,2
UC9F7gY7cE8zDsaSGHnsPCjg,0,0,0
UCGr8o3dHx38M95DmJxwugBA,256,11,4
UCGq6awmZvGbWjfqHlSNrr2w,496,7,2
UC3ha9YwI_ugXsobvL5f2MTw,4972,100,3
UC_v3cUeJLZSKSH2RZE3ghjA,267,6,5
UCAm-IL-XXviwvy-cC2X-1Aw,16498,391,20
UCZS8vtWSO-UlYDRhWvRcGXQ,70,0,1
UC8uBCicBDakk143DBhpGW1Q,19078,8,14
UCaa2wJW1az_f0SGtcBuQojg,12333929,51100,353
UCdbzRnfHY2ekziAcnxwWiCw,190,0,5
UCqf-QCKKB4slcZhQQKgH6Dg,1161,26,10
UCjaPmZtPlvdsyVXWFPl0BUg,122,2,7
UC3hLBKyFKPtR1qwSJ_6IULQ,4250,212,13
UCt6vqK-1oGlDca4eI7fWanw,2295,27,27
UC-2n_D5CjEO98iVRyrHBq0g,18244478,139000,1118
UCqFboL9GzkDOxetafcCeGEQ,478,48,7
UCWEOI4TNvZQh-SDcdMrifyg,1493754,31100,262
UCdHqaChL11TCT6b4EoCjEPg,3491793,22400,615
UCi6Gnvaew8YW3xrje4_ythg,1153238,10600,57
UC6w1Iphx4TY2IVcctB605mQ,10172299,37400,1528
UCb-_-IUREAGx3-2ocWXyhUw,18503767,134000,1195
UC2l_ute-EIFddpcMIqCbXpg,231,11,2
UCYegstR9y4WZxGPrW6qCeeg,1298,3,100
UCtlT2dwbyg1dNTo2R30iCQw,71998,219,78
UC_Soi6a7Q9ZuE9JhvSshUdA,559,11,13
UCuorUxLDtW6d3T0K3Gyfc-A,25362,36,3
UC3MBINjumogUpE2qEWEe3Mg,10195,104,10
UC6lha6mXRjkNOiuUx5KFheQ,5533,69,2
UCHge4MWgexwpL4DCrR9Xh6A,30096,349,72
UCwIZFvCInKBNwXob5GyEJdg,0,1,0
UCeNa-r7EtOw-7zLkAbhicGw,47570719,103000,121
UCl1vYjVssCSex8k9q0DskMw,41,0,2
UCZTSGVQUGbXsojTOr92gGfg,104,1,1
UCFSWlFN1XRO2PvYc5S7wJQg,1658,22,3
UC1JXi9W-Sp-0v6ZvD3-4sfg,2007861,9060,364
UC5dMsSug1OVaIGPVfTGalgA,120,7,6
UCWxOBeWJYoujgLEce8s8UYQ,131,2,3
UCOH68Ptcv1K6s1dfJRvzTxA,13077,66,11
UCLlfnHnQZNxTn3JEuNEtNGw,3005551,39500,327
UCJted-vSelq-fsktzX1PRTg,10777,1120,18
UCvOHNldx-ma4asdAPPMikCA,14153,386,36
UCyMX-R5p7HklLP9LSTqdjnQ,32827938,142000,29
UCB1UTMfmKOWmiNITrBZzqyw,271315,1030,70
UCxUsi0J_s1jX_v_gGi4UAGw,15332110,57500,2185
UCrwCzti25pK0y2Y6gF2zNMw,12028,37,54
UCQPhADvWdGBGvQqrorBzzJA,15548656,153000,318
UCiouH3KCNMcE_iQ2abbLsVg,15774298,134000,32
UCex_P_xQIO4MHKOyvOwGoGA,4585,104,28
UC6eMjL68qZcG9xs_bloxdMQ,31,4,1
UCdyB9_4dIAEHp-q3WYoIIcg,4409,111,13
UCS9bg9AnRhxBEamZZImJ9Fg,110,1,2
UCiJoNqF9Axr26_TjwHIjYzw,188,1,2
UCa_0UhhE_tr8U5JBk5hb1OA,1131,35,17
UCIu4mNzOZEAR3uJsr7URJYg,2284,23,4
UC6uPIAo3aE50VPfR7RBeccg,1328,10,2
UCytidYaiFLewoQMJ3fAJIeA,771,27,4
UCHdJ8p7ypMC5SguhDsbNbug,500,4,4
UCWT3Jwkt_rbpU2CLMTyCnHg,229,6,5
UCRrhzRZoqNatjFiP1Izhc7g,34517,21,13
UCGV0lhheXMg4_n_ACNGBazQ,217,2,19
UC11vSu7qDGfDb8kIZY2GS-Q,1332,5,17
UCT2Kd3dFlZIDC6Lo-1JbU7w,317,6,21
UCC8htmfqIwiHVyeswHZ7NOw,583567,15400,35
UCZKJuY7avFCbUesHSiqYf0w,234349860,483000,457
UCrDoFgNQCBEmh2eBWtJiUiw,9177,1060,79
UCZYaTxjb2C2vkJ6Kod2YUaA,9167609,35500,114
UCx7kpz9P5gXYCELbOwVTBPA,6969018,41100,473
UCooRs3q6eXxv1-qramrGQ9g,4076668,30600,379
UC2QLE2CEKIJfMgkSovoW9lA,16,0,4
UChHDf6IT0fbtFH16H_Sf-QQ,1741,162,7
UCj_T4q2_JFJoOSkgUwTsOtA,13545887,87700,461
UCT39pwt-QmQDgw2xHN3xScA,0,1,0
UC4yeIK_TZk7voSn1WEQUY4g,16,0,1
UCMf0Im_V94cL0NjR6kVIKMA,1798,12,1
UCqGlUArm1pbHZBFYTbRJUUg,42562052,1330000,263
UCHC1xCqZuVH3wfIESFKLCIQ,866,26,9
UCvwpPherAOhxEmDVYXX4wlw,1432138,33500,119
UCdUykglxp2l4KUuQt5-s2wg,8060189,26600,275
UChLOIqJVYtdIsDH8uL60ujg,1273,18,4
UCxAFpBJec_TbuVzvjNqJ2uw,37631,350,2
UC_lxPQrdOhHZHIR1D7iEEZg,0,23,0
UCXuDL_brORqWeck3UD0xMKg,394,17,9
UCmKffSFcgbhRFgwog42rP4A,104712,464,52
UC0gKTl5r1n6L_sHuqYam7HQ,76,9,2
UCRH3fjP0-fraKeu4yCfhIyg,182074592,140000,821
UCocO3Vbv1sEhK5XGoeykF7A,98891,1520,103
UCYGkn9wdNs-RfKF7GK32SPQ,119778,1650,272
UCCnOohgaK2SCyO6fQHi-zVw,13554359,89900,435
UCxvneCjHVOglo-67ZoAzSSg,13805,1230,52
UCVC7MZ6Hi7ASn5T5tV01iyA,10754,413,25
UCPhn3hnmrwCTHIOxNP-jEFw,183,0,6
UCbo8VS_cBmQbnF9H_mGDtlw,103,1,3
UCuLf2U6FOWgdXuNDBHEjtsw,657,15,37
UCnM4cfHRNLv_uBYdOezkgCQ,335,16,7
UCVZDzRHeheo2_TqgXp5nF-g,16471,153,14
UCKG-vWMGQEC4IGIzIY3BLiw,8,1,1
UC3Ws5ZyxTYFvOJSqmdavClA,1770788,23400,613
UCZbHJ4fhXMZJQslGl4mKvgQ,50812,396,6
UCPBhAanViYiby4HUR1jS5CQ,966,41,14
UC7ZWYXUI3ZJUPGy1g_X0iwQ,1408,6,9
UCTvDIcZKRL4KPpoI5_dEyJg,68665,810,92
UCJdfy_z2iMsODx70_c2HHxQ,13224820,68700,244
UCh-bN2eWycdpjL025wTekPA,13156805,62600,15
UCBhCBRoEWlJFJhbC1TPIhqQ,263,5,1
UCMBgoUr5rczZzgHyxHzNKdw,22579,277,250
UCGEXyeSIPjdeKkqSIxgSDmg,1885190,13700,268
UCxnk_cmihV5uM6IqNfCw82w,40,1,1
UCFfWJNUFcsI2lK8YKZr985A,213974,3630,49
UCDnlPgVej3OpH3Cy8aZLxZw,2797,8,7
UC5mGJ5KAMLj0JP_CBmGGCfg,0,0,0
UCL4BGt0YIQYXP73TuWoH0_g,42727,127,56
UCZEd8cN_2wyXVCbxQGDNZ5g,3161,44,13
UCjhYwA_jM-YW-0r2SFL_hVg,0,0,0
UCj7F9_tK9kZTrPvHV28srkw,141753,503,7
UCXbn2-k6JhWafwEBbPPXqxg,387,8,2
UCxkZlgOyXK8r0x_ZpMr_L8Q,163,3,10
UCkQySqGcFTsCwrldle5GLug,124,18,1
UC_ZM4Gi7qtCPZDTYO6Nf9hg,5173,40,18
UCG4r4LH-6vydwCyvBKzyRcg,465,112,17
UC0sNzYuILfFuzhzXw89wUPg,413,0,5
UCD3PvMjEFEZnjMvrLQTZZVg,292,5,5
UCFp6PQtPfUKcACR3zfTbKTg,66,0,2
UCRNDOB7LtS_u2bhwdjwSHDA,591,45,6
UCZEPO-ygN75DB1X9ycv3jKw,199,17,5
UCAv-8wF-DIRTqoF9Da1RfEQ,0,3,0
UCpI-E53OrQjuTLdflJD2whg,16078,115,9
UC1bDkZvpF9zu6JIiUGPznQQ,26346446,257000,57
UC23Cs2kyBHkaBeZ4Kue3mtg,66,7,6
UCJWCdkpGRK8TU4DNxwitI7Q,47856,1320,48
UCM5WfguBgjCC2XANd8GBdtA,135448,861,7
UCP2d1ryDIrg4hkSnflw7Caw,20919,1040,32
UC0yIAhPFHHELsba6SGdqoEg,523,1,23
UCPBSwO90MGUXgUHZ8yw0rdg,299,7,3
UCqJ4eC2_Hy1lmydskvbDxtQ,149,1,3
UChI7wGqwz0TyZ7cvCvdlFNA,47259,261,7
UC9V4ofx7EhkJGOsX-nbW3aQ,2999,7,13
UC2LhCXPElWodP8vR7BJR-DA,0,8,0
UCEqeDjdAjn45Hu319lggPVQ,3089,81,3
UC0dBhX4zE06XGwZvsz7SMzw,382,32,4
UC31hCIWWWEtoozsqUtUq5eA,62,3,4
UCFmRSl8SJGHMrsRJKILmlhQ,125,2,4
UCqKxcuhaZ5VUJTnm394vRlA,484,0,2
UC9lQUjCenost_-WIpyg_ULw,2834,14,57
UCMvoNE28_05OTYikBikyFNQ,16,0,2
UCnkOFa12eGxK7N34D4cNRwg,16668086,88800,112
UCyKCcKAoRhalj6o87cJk5jw,715,13,2
UCqx_rVIhTiEEDOi89-aV95w,26677,68,58
UC91i2T4FwTFwtdfvJqF0mPA,215479642,505000,645
UCglTJ6-k8OoPnTu7Pa8nkHw,4091390,80300,758
UCMvnNsSYdIIdH7CfFVZ_ZwA,62037,731,163
UCGAcdi8U6Abtcfgl5jLTGuQ,527657,1300,3741
UCCr0Ly8_QmZLEE9oNrK8dhA,3669,9,4
UC-gHhMXGqsdhvQyB6hyVH1g,1932,14,10
UCL_bi6W8wBUI_FE7KlEKxbg,184,2,3
UCERurOl0fai_bvYUlhOB_zw,646,12,14
UCDA4SRFgInG6JGTPXYbEksQ,143329,704,13
UCAs4ixn_CUKvXBpxH0Xjo4A,144,3,3
UCYhBz4A2T_TkGSfa-GEcQ5g,133,38,3
UCRKvgMNUfihRIXanhI9o49A,838,93,3
UCP26JqfieqdGBxAd62Q-a2A,1599,10,69
UCLfi6PbQ5AbDrGfAIH77C4A,16,1,1
UC8q9mFeXSeILGRVOnVHXTBA,7737833,28500,240
UCEedDi_fCzMZkeybGES8BnQ,448,8,5
UCZIZKDxyPShhIydLEaaUxlA,13251,15,7
UCwibWWfOmurv67fZHBw_2Yg,35089,237,32
UCGEGBKgzNzpc1oAQ3rmL23g,47486,137,109
UCsdFqYjMYjpb85ow7OZ6xFA,219247318,281000,179
UC0G5phQ-7k1jTrqkTArlU9w,531,11,6
UC8SjzxBO_knQgMjumvTgOrA,367,13,4
UCRuopFa9_zoDvD29rRsGb2Q,158,5,11
UCYXAXrNz1oj_I0MFs5uYDKg,256,0,15
UCq-rIpGPGkF_j6bb8nrcnwA,58,0,80
UCarKiyAg7YMa5wVR5WBepEw,1989,8,1
UC8wZxguUi-w-kcrB15OLuKw,0,0,0
UCwbNaZVKJIg3FAxlN34hErw,2282,38,6
UCU6m4Ozc6-OgeljZC-qch4A,280,10,5
UCi8qoePDBPT-CeI-1TfSGog,12325,37,13
UCbH_sBYkKe5H57klGLKOOEg,78,5,2
UC-UVpglW_zPfUGDQN4yJuWA,0,2,0
UCDt2fWbdakjtibKI7hcCh3Q,46,9,2
UCyB5-JyMvofDZ9iHgLin2Bg,1381,9,2
UCDmcwZCDwWB93uk_zWYzQgA,271,1,16
UCYq9GTes67d7qbhRkeFi3_w,13152,1560,106
UC8cIDj5VjqRT0aiuPiAfX2Q,887921,16000,33
UChNMNZ2Ak2U0UQ5JSDPvYLw,5,9,1
UCxTru5XL_6ZTr0dGsP9nT9w,55798,600,25
UC-8EN5PTcT7lSnyzlGMeS8Q,19217,286,2
UCI8jwhWLG-ZEV90qQSpSE3A,1284,7,9
UC9UJNZCyhx7CDIOh7S9L4aw,10011,104,2
UCGqORE1XKErqDo7zAiF3NBg,333,16,16
UCrQWhawHMFVg5lxbLdukLZA,592,85,47
UCg_AeEtYMMH6joityazuA8w,2029285,9970,133
UC7La3caPUHJKBfb5iW5VycA,2624,8,1
UCmcn5JsJOxODaVu9R3YB0dg,710690,4380,4
UCZ8ZYxfWZs0dx1PE5yyzdJA,42,25,1
UCq5_IrGpTLgu9H3R1bgDgpg,142,5,1
UCaYQwfQf6-6ceAN6075yDUw,523,3,6
UC7vLI0AwHnDtJ6GkV1pBaUg,0,13,0
UCzDEmVUutrcOq3ybmJMMqmQ,162246761,436000,92
UCRmbrtcw_LVuQxau2ncUawA,77906,884,50
UCOl9bo4XNJpKs6ZMP7v1p2A,0,3,0
UCPUm0Op51uTYBcem6933Uwg,434,5,7
UCQVf1r7E0djdFgRrkogWquw,1238,4,11
UCX9_GOGFrm6QwWYbjvbtOsA,0,2,0
UCvGXkFz_Skjm3i7yJE8hbEA,85,16,4
UCjGB57l_bqcqHAbc--JeeZg,1256,17,3
UCWkZq5P4u0ywIDbblDiF76w,0,5,0
UClpSzxf2ISQAhaCfxm1Mu5Q,1230,15,3
UCzbXFQ0EUEZ2j8DcpMg6JLQ,169,0,2
UCQtd7Ermrp-6gZBKLlETLRA,141142,1630,5
UCU5-4RvmN9NwUfnwpim7-9w,1355343,22000,51
UCv_w32IED0yhGujeOnHSC7w,26238982,58500,187
UCVmQqFyS6JbJ14thfxqHCeQ,8663426,110000,530
UCaVvVNpl_787hhA6_M1nrVw,3363845,94800,67
UCnjLDXlLUsAb-dgAQKNS3cw,1281,13,11
UCMTVuEwHEVN-b6gOVC_ulYA,34160,1470,54
UCQF7Ap37DbZSx48c67gvWag,126,0,1
UCKbg4zsuFOXvWOwpF1fNRRg,5180015,15600,287
UCoL3ISXHyQmp94KHexRWdbA,141,4,6
UCRpfjYg2NMV8XotlQa8GsAA,222,5,11
UCfzWfVg-545uhAlmGNMFmQQ,407,70,13
UCUY5i4Ps0eOGcv4Tn9mEq0Q,512,6,2
UCwlG_YI0sfCevjM8eTjdDgQ,181,4,19
UCL4YbobMMeicin8u96DyxqA,14881,141,69
UCsUncZu79WZ53TRlfsZokSQ,58170,392,7
UCVP2ZDCmWpl13oOuNfKWO3A,269,4,5
UCIAjYcoAtFdIQlFTNKzeDlA,64,1,4
UCiEUo1Xys4sYSPNOyqUoSOQ,50,2,5
UCoaqnYuxETXpAY4CsXk1SvQ,892,17,16
UC3GUW642tSJaJNs_aCtMmbg,1158,55,26
UCHD6gO0T7_z2XQMR5X07E2w,41314,443,6
UCMzkvTJvBbVacWQK-4HfPiA,10,7,1
UCwulSd3XUqGYqJ7CLedZKlw,170,1,12
UCfAyGxCKWYSKPlCjdlLInTQ,168,3,1
UCDF-I0QGcGUg7awSis6B4LQ,93,10,2
UCDYygaE1P2srNOiUXcAfqrA,23385802,83500,144
UC9IO4bYQw7GvNC7gpPVRuyg,11076208,60100,469
UCh2AeLv_0Eme8Y_V4kmUWHQ,102074156,125000,308
UCtSQcDhW98iMMolQjsjG97w,486,64,6
UCPmmf9yduAO3BX_WbMaW5Hg,9581,323,7
UCZJh2XIxmW-H6nzYdYKFmAA,19533,476,50
UCtWSSPJKRXtJtwSg2b-Zs3A,19809394,143000,305
UCu4TYaL1649x64QyEJgvtIQ,870,17,14
UC3x6At9IhyvJkc3C6cUAcLw,203,1,7
UCrrkfKQHTVT0awEBhZvh02g,329,1,17
UCxrk60mDTWaEEYYd5ikNvng,31,0,1
UCO0ZL-AxyoOLZGFGKPmJlmQ,84,2,3
UC87SwlRpfBeAC1JvNuDJWWA,1822,2,11
UCQN9MhJq0cwSyeI0pgRxFHg,102395,741,3
UCmxOXod7nODTqeGwsMbW_6Q,352,2,11
UCpwdh3JXXk8l1CsNYkY3QDQ,42,2,2
UCAkpS-ksCjoMz4jZr7v9r7A,30171,430,5
UCQVXLoKAXhtRTRSp0QEMJ3Q,1111,9,3
UCdYGzDmyS0V4-iqbt7yYx_Q,2374,16,4
UCleGlyao2M4Cnj2AO7fx7Mg,273,0,10
UCtgr-bXW1jWtll9CcB_OvpA,2893,166,3
UCoRR1-g-ijUGbAgqaz_QZ3Q,364,4,3
UCqFTbYTLit9GzwNukioE-vg,987,32,6
UCh3-qj4-8eiv-sGOyBl9G8Q,4840554,22500,24
UCJlUWDrCI6RE0JAIKc9inoA,297,2,1
UCH4HpX_u2iN3o9VH6fMet5g,0,11,0
UCYdJ106fjdv04vCf4DLv5yw,803,9,22
UCIyXC_7MlX-qLsoM_r4kRbw,86,0,5
UC2L0mWMNAk0pI0sHdqFQ6hg,15162715,91400,50
UCxjNDUtlsSRrgxDNUmR8I_A,472411,5560,81
UCH5l6dD9N3jlY0GKKpTo7tg,96651220,267000,146
